name,quantity,notes,final_price,original_price,discount,url
"Pellot - Paclobutrazol 23% SC Plant Growth Regulator, Ideal for Mango and Other Major Vegetable Crops",500.00 ml,500 ML x 1 Qty,766,1870,1104,https://agribegri.com/products/buy-agribegri-pellot-paclobutrazol-23-sc-plant-growth-regulator-online.php
"Swal Tekon GR Mycorrhizal Bio Fertilizer, Increase The Nutrient Uptake And Improves The Rhizosphere",2.00 kg,2 Kg x 1 Qty,587,750,163,https://agribegri.com/products/buy-swal-tekon-mycorrhizal-bio-fertilizer-online.php
"Agriventure Pymetro Pymetrozine 50% WG Powerful Control Against Rice plant hopper, Also Control All Stages Of Aphids, Whiteflies",250.00 gm,250 Gm x 1 Qty,750,950,200,https://agribegri.com/products/buy-agriventure-pymetro-pymetrozine-50-wg-insecticide-online--rice-plant-hopper--chess--aphids--whiteflies.php
"Multiplex Twin 13:00:45 Water Soluble Fertilizer , Contains Nitrogen 13% and Potassium 45%",1.00 kg,1 Kg x 1 Qty,361,420,59,https://agribegri.com/products/buy-multiplex-twin-130045-water-soluble-fertilizer-online.php
"Bomba Pro - Imidacloprid 70% WG Insecticide, Essential For Control of Sucking Pests",60.00 gm,30 Gm x 2 Qty,399,584,185,https://agribegri.com/products/hcbj.php
"NCS Aura Flashlight Torch, 3.7 V 6000 mAh Lithium-Ion Battery, Can Be Used In Agricultural Activities, Outdoor Activities, and Home",1.00 qty,,853,1499,646,https://agribegri.com/products/buy-aura-flashlight-torch-online-agribegri.php
"Glyox Ammonium - Salt of Glyphosate 71% SG, Systemic Herbicide Effective Against Broadleaf Weeds in Tea and Non-Cropped Areas",200.00 gm,100 Gm x 2 Qty,197,450,253,https://agribegri.com/products/buy-glyox-ammonium-salt-of-glyphosate-71-sg-systemic-herbicide-onilne.php
"VIP Fishing Safety Shoes, Fishing Boots, Waterproof Shoes, Offers Long Lasting Comfort And Safety",1.00 set,5 Uk / FG 39,2440,3499,1059,https://agribegri.com/products/shop-vip-fishing-safety-shoes-online.php
"Thiolt 25 - Thiamethoxam 25% WG, Best For Robust Pest Control, Targeting a Broad Spectrum of Insects",1.00 kg,250 Gm x 4 Qty,783,2060,1277,https://agribegri.com/products/buy-agribegri-thiolot-25-thiamethoxam-25-wg-online--aphids--thrips--whiteflies--spider-mites--caterpillars.php
"Hexario - Hexaconazole 5% SC, Provides Protection Against Powdery Mildew and Sheath Blight",1.00 liter,1 Ltr x 1 Qty,317,490,173,https://agribegri.com/products/buy-agribegri-hexaconazole-5-ec-protect-against-powdery-mildew-and-sheath-blight.php
"Remidok - Fipronil 18.87% SC Insecticide, Compatible with Other Insecticides and Fungicides",250.00 ml,250 ML x 1 Qty,740,1335,595,https://agribegri.com/products/buy-agribegri-remidok-fipronil-187-sc-insecticide-online.php
"Hexabell - Hexaconazole 4% + Carbendazim 16% SC, Highly Effective Fungicide with Protective & Curative Action",500.00 ml,500 ML x 1 Qty,534,770,236,https://agribegri.com/products/buy-agribegri-hexabell-hexaconazole-5-sc-online--suspension-concentrate-fungicide.php
"Best Agrolife Tricolor Trifloxystrobin 10% + Difenoconazole 12.5% + Sulphur 3% SC Fungicide with Prophylactic, Curative and Eradicative Action",500.00 ml,500 ML x 1 Qty,1725,2605,880,https://agribegri.com/products/buy-best-agrolife-tricolor-fungicide-online.php
